timestep,Site,Classification,abundance
1,Acono d,Crustacea Decapoda Pseudothelphusidae,9
1,Acono d,Insecta Coleoptera Elmidae,42
1,Acono d,Insecta Coleoptera Psephenidae,289
1,Acono d,Insecta Diptera Chironomidae,8
1,Acono d,Insecta Diptera Simuliidae,25
1,Acono d,Insecta Diptera unknown,1
1,Acono d,Insecta Ephemeroptera Baetidae,200
1,Acono d,Insecta Ephemeroptera Euthyplocidae,1
1,Acono d,Insecta Ephemeroptera Leptophlebiidae,74
1,Acono d,Insecta Ephemeroptera Tricorythidae,70
1,Acono d,Insecta Hemiptera Veliidae,1
1,Acono d,Insecta Lepidoptera unknown,3
1,Acono d,Insecta Odonata Calopterygidae,6
1,Acono d,Insecta Odonata Coenagrionidae,30
1,Acono d,Insecta Odonata Libellulidae,12
1,Acono d,Insecta Plecoptera Perlidae,26
1,Acono d,Insecta Trichoptera Glossosomatidae,87
1,Acono d,Insecta Trichoptera Helicopsychidae,1
1,Acono d,Insecta Trichoptera Hydropsychidae,41
1,Acono d,Insecta Trichoptera Leptoceridae,1
1,Acono d,Insecta Trichoptera Philopotamidae,27
1,Acono d,Turbellaria Turbellaria,9
2,Acono d,Crustacea Decapoda Pseudothelphusidae,2
2,Acono d,Insecta Coleoptera Elmidae,37
2,Acono d,Insecta Coleoptera Psephenidae,408
2,Acono d,Insecta Coleoptera unknown,1
2,Acono d,Insecta Diptera Chironomidae,25
2,Acono d,Insecta Diptera Simuliidae,13
2,Acono d,Insecta Diptera unknown,1
2,Acono d,Insecta Ephemeroptera Baetidae,38
2,Acono d,Insecta Ephemeroptera Leptophlebiidae,57
2,Acono d,Insecta Ephemeroptera Tricorythidae,277
2,Acono d,Insecta Hemiptera Veliidae,2
2,Acono d,Insecta Lepidoptera unknown,3
2,Acono d,Insecta Odonata Calopterygidae,6
2,Acono d,Insecta Odonata Coenagrionidae,80
2,Acono d,Insecta Odonata Libellulidae,147
2,Acono d,Insecta Plecoptera Perlidae,35
2,Acono d,Insecta Trichoptera Calomoceratidae,3
2,Acono d,Insecta Trichoptera Glossosomatidae,226
2,Acono d,Insecta Trichoptera Helicopsychidae,48
2,Acono d,Insecta Trichoptera Hydropsychidae,141
2,Acono d,Insecta Trichoptera Hydroptilidae,37
2,Acono d,Insecta Trichoptera Leptoceridae,48
2,Acono d,Insecta Trichoptera Philopotamidae,49
2,Acono d,Oligochaeta unknown,5
2,Acono d,Turbellaria Turbellaria,37
3,Acono d,Crustacea Decapoda Pseudothelphusidae,15
3,Acono d,Crustacea unknown,1
3,Acono d,Insecta Coleoptera Elmidae,60
3,Acono d,Insecta Coleoptera Psephenidae,120
3,Acono d,Insecta Coleoptera unknown,14
3,Acono d,Insecta Diptera Chironomidae,32
