"site","session","date","species","abundance","biomass"
"AC1",1,"20/01/2011","Andinoacara pulcher",25,392.2
"AC1",1,"20/01/2011","Crenicichla frenata",2,13.1
"AC1",1,"20/01/2011","Hoplias malabaricus",2,37.3
"AC1",1,"20/01/2011","Hypostomus robinii",7,380.1
"AC1",1,"20/01/2011","Poecilia reticulata",128,12.8
"AC1",2,"23/05/2011","Ancistrus maracasae",4,26.6
"AC1",2,"23/05/2011","Andinoacara pulcher",36,618
"AC1",2,"23/05/2011","Crenicichla frenata",5,96.4
"AC1",2,"23/05/2011","Hemibrycon taeniurus",3,28.8
"AC1",2,"23/05/2011","Hoplias malabaricus",3,259.8
"AC1",2,"23/05/2011","Hypostomus robinii",3,69.8
"AC1",2,"23/05/2011","Poecilia reticulata",378,37.8
"AC1",2,"23/05/2011","Rhamdia quelen",2,138.5
"AC1",2,"23/05/2011","Synbranchus marmoratus",2,184.5
"AC1",3,"15/08/2011","Ancistrus maracasae",5,43
"AC1",3,"15/08/2011","Andinoacara pulcher",4,102.9
"AC1",3,"15/08/2011","Crenicichla frenata",2,45.2
"AC1",3,"15/08/2011","Hoplias malabaricus",3,36.4
"AC1",3,"15/08/2011","Hypostomus robinii",4,81.3
"AC1",3,"15/08/2011","Poecilia reticulata",128,15.36
"AC1",3,"15/08/2011","Rhamdia quelen",2,367.3
"AC1",3,"15/08/2011","Anablepsoides hartii",1,0.1
"AC1",4,"17/11/2011","Ancistrus maracasae",3,21.9
"AC1",4,"17/11/2011","Andinoacara pulcher",31,931.1
"AC1",4,"17/11/2011","Crenicichla frenata",1,8.3
"AC1",4,"17/11/2011","Hoplias malabaricus",1,48.6
"AC1",4,"17/11/2011","Hypostomus robinii",16,393.5
"AC1",4,"17/11/2011","Poecilia reticulata",22,1.32
"AC1",4,"17/11/2011","Rhamdia quelen",2,156.8
"AC1",4,"17/11/2011","Anablepsoides hartii",1,0.4
"AC1",4,"17/11/2011","Synbranchus marmoratus",3,77.3
"AC1",5,"23/01/2012","Andinoacara pulcher",34,323.3
"AC1",5,"23/01/2012","Crenicichla frenata",1,0.8
"AC1",5,"23/01/2012","Hypostomus robinii",4,22.1
"AC1",5,"23/01/2012","Poecilia reticulata",201,28.14
"AC1",5,"23/01/2012","Rhamdia quelen",2,26.7
"AC1",6,"15/05/2012","Ancistrus maracasae",1,10.3
"AC1",6,"15/05/2012","Andinoacara pulcher",72,293
"AC1",6,"15/05/2012","Crenicichla frenata",2,35.6
"AC1",6,"15/05/2012","Hoplias malabaricus",3,12.3
"AC1",6,"15/05/2012","Hypostomus robinii",23,361.8
"AC1",6,"15/05/2012","Poecilia reticulata",352,42.24
"AC1",6,"15/05/2012","Rhamdia quelen",1,46.7
"AC1",7,"06/07/2012","Ancistrus maracasae",9,78.8
"AC1",7,"06/07/2012","Andinoacara pulcher",56,206.8
"AC1",7,"06/07/2012","Crenicichla frenata",3,10
"AC1",7,"06/07/2012","Hoplias malabaricus",5,178.4
"AC1",7,"06/07/2012","Hypostomus robinii",12,98.4
"AC1",7,"06/07/2012","Poecilia reticulata",235,23.5
"AC1",7,"06/07/2012","Rhamdia quelen",4,270.6
"AC1",8,"18/10/2012","Ancistrus maracasae",3,31
"AC1",8,"18/10/2012","Andinoacara pulcher",39,792.7
"AC1",8,"18/10/2012","Crenicichla frenata",6,96
"AC1",8,"18/10/2012","Hemibrycon taeniurus",2,23
"AC1",8,"18/10/2012","Hoplias malabaricus",2,19.2
"AC1",8,"18/10/2012","Hypostomus robinii",4,144.6
"AC1",8,"18/10/2012","Poecilia reticulata",134,14.74
"AC1",8,"18/10/2012","Anablepsoides hartii",2,2.1
"AC1",9,"07/02/2013","Ancistrus maracasae",3,16
"AC1",9,"07/02/2013","Andinoacara pulcher",42,718
"AC1",9,"07/02/2013","Crenicichla frenata",1,11
"AC1",9,"07/02/2013","Hoplias malabaricus",1,175
"AC1",9,"07/02/2013","Hypostomus robinii",1,2
"AC1",9,"07/02/2013","Poecilia reticulata",114,13.68
"AC1",10,"18/04/2013","Ancistrus maracasae",3,41
"AC1",10,"18/04/2013","Andinoacara pulcher",50,1055
"AC1",10,"18/04/2013","Crenicichla frenata",8,106.8
"AC1",10,"18/04/2013","Hypostomus robinii",3,172
"AC1",10,"18/04/2013","Poecilia reticulata",108,15.12
"AC1",10,"18/04/2013","Rhamdia quelen",2,244
"AC1",11,"25/07/2013","Ancistrus maracasae",10,46.5
"AC1",11,"25/07/2013","Andinoacara pulcher",39,911
"AC1",11,"25/07/2013","Crenicichla frenata",3,55
"AC1",11,"25/07/2013","Hypostomus robinii",3,69
"AC1",11,"25/07/2013","Poecilia reticulata",520,52
"AC1",11,"25/07/2013","Rhamdia quelen",4,352.5
"AC1",11,"25/07/2013","Synbranchus marmoratus",2,113.3
"AC1",12,"31/10/2013","Ancistrus maracasae",4,55.2
"AC1",12,"31/10/2013","Andinoacara pulcher",34,949
"AC1",12,"31/10/2013","Crenicichla frenata",15,206
"AC1",12,"31/10/2013","Hoplias malabaricus",1,141
"AC1",12,"31/10/2013","Hypostomus robinii",3,87
"AC1",12,"31/10/2013","Poecilia reticulata",197,19.7
"AC1",13,"20/01/2014","Ancistrus maracasae",2,12
"AC1",13,"20/01/2014","Andinoacara pulcher",33,880
"AC1",13,"20/01/2014","Crenicichla frenata",83,136
"AC1",13,"20/01/2014","Hoplias malabaricus",2,170
"AC1",13,"20/01/2014","Hypostomus robinii",13,327.5
"AC1",13,"20/01/2014","Poecilia reticulata",111,6.66
"AC1",13,"20/01/2014","Rhamdia quelen",2,126
"AC1",13,"20/01/2014","Synbranchus marmoratus",1,3.5
"AC1",14,"07/05/2014","Ancistrus maracasae",7,53
"AC1",14,"07/05/2014","Andinoacara pulcher",96,1633.8
"AC1",14,"07/05/2014","Crenicichla frenata",2,70
"AC1",14,"07/05/2014","Hoplias malabaricus",2,43
"AC1",14,"07/05/2014","Hypostomus robinii",1,60
