Date;Disturbed;females;Field;Field 2;Field 3;Field 4;Fish Family;Genus;HCvsEF;juveniles;length;males;number caught;number seen;sampleID;Site;Species;weight
;;;;;;;;;;;;;;;;;;
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Andinoacara pulcher;4.9
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Andinoacara pulcher;11.2
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Andinoacara pulcher;5.5
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Andinoacara pulcher;12.1
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Andinoacara pulcher;12.1
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Andinoacara pulcher;39.8
15/11/2010;disturbed;;;;;;;;;;;;0;8;1;Lopinot d;Andinoacara pulcher;5.5
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Hemibrycon taeniurus;6.6
15/11/2010;disturbed;;;;;;;;HC;;;;1;0;1;Lopinot d;Hypostomus robinii;5.3
15/11/2010;disturbed;43;;;;;;;HC;37;;34;114;0;1;Lopinot d;Poecilia reticulata;0.12
15/11/2010;disturbed;;;;;;;;;;6;;0;1;1;Lopinot d;Hypostomus robinii;60
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;1.6
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;26.6
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;40
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;3.3
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;3
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;2.8
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;12.5
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;4.8
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;10.3
15/11/2010;undisturbed;;;;;;;;HC;;;;2;0;2;Lopinot u;Andinoacara pulcher;3.2
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Andinoacara pulcher;1.5
15/11/2010;undisturbed;;;;;;;;HC;;;;2;0;2;Lopinot u;Andinoacara pulcher;2.5
15/11/2010;undisturbed;;;;;;;;HC;;;;0;1;2;Lopinot u;Andinoacara pulcher;1.6
15/11/2010;undisturbed;;;;;;;;HC;;;;1;0;2;Lopinot u;Hoplias malabaricus;12
15/11/2010;undisturbed;39;;;;;;;HC;63;;19;121;0;2;Lopinot u;Poecilia reticulata;0.1
15/11/2010;undisturbed;;;;;;;;;;4;;0;1;2;Lopinot u;Hypostomus robinii;40
19/11/2010;disturbed;;;;;;;;;;3;;0;1;3;Lower Aripo d;Andinoacara pulcher;15
19/11/2010;disturbed;;;;;;;;HC;;;;2;0;3;Lower Aripo d;Astyanax bimaculatus;4.5
19/11/2010;disturbed;;;;;;;;HC;;;;1;0;3;Lower Aripo d;Astyanax bimaculatus;6.4
19/11/2010;disturbed;;;;;;;;HC;;;;9;0;3;Lower Aripo d;Astyanax bimaculatus;1.5
19/11/2010;disturbed;;;;;;;;HC;;;;15;0;3;Lower Aripo d;Astyanax bimaculatus;2.5
19/11/2010;disturbed;;;;;;;;HC;;;;6;0;3;Lower Aripo d;Astyanax bimaculatus;3.5
19/11/2010;disturbed;;;;;;;;HC;;;;1;0;3;Lower Aripo d;Astyanax bimaculatus;1.9
19/11/2010;disturbed;;;;;;;;HC;;;;1;0;3;Lower Aripo d;Astyanax bimaculatus;10
19/11/2010;disturbed;;;;;;;;;;;;0;400;3;Lower Aripo d;Hemibrycon taeniurus;0.6
19/11/2010;disturbed;;;;;;;;HC;;;;12;0;3;Lower Aripo d;Hemibrycon taeniurus;0.6
19/11/2010;disturbed;;;;;;;;HC;;;;2;0;3;Lower Aripo d;Hemibrycon taeniurus;1.5
19/11/2010;disturbed;;;;;;;;HC;;;;8;0;3;Lower Aripo d;Hemibrycon taeniurus;0.8
19/11/2010;disturbed;;;;;;;;;;;;0;15;3;Lower Aripo d;Hypostomus robinii;15
19/11/2010;disturbed;;;;;;;;HC;;;;1;0;3;Lower Aripo d;Crenicichla frenata;3.8
19/11/2010;disturbed;7;;;;;;;HC;10;;2;19;0;3;Lower Aripo d;Poecilia reticulata;0.11
19/11/2010;undisturbed;;;;;;;;HC;;;;3;0;4;Lower Aripo u;Astyanax bimaculatus;4.5
19/11/2010;undisturbed;;;;;;;;HC;;;;7;0;4;Lower Aripo u;Astyanax bimaculatus;2.5
19/11/2010;undisturbed;;;;;;;;HC;;;;6;0;4;Lower Aripo u;Astyanax bimaculatus;1.5
19/11/2010;undisturbed;;;;;;;;HC;;;;4;0;4;Lower Aripo u;Astyanax bimaculatus;3.3
19/11/2010;undisturbed;;;;;;;;HC;;;;1;0;4;Lower Aripo u;Astyanax bimaculatus;7.3
19/11/2010;undisturbed;;;;;;;;HC;;;;1;0;4;Lower Aripo u;Astyanax bimaculatus;6.8
19/11/2010;undisturbed;;;;;;;;HC;;;;22;0;4;Lower Aripo u;Hemibrycon taeniurus;0.6
19/11/2010;undisturbed;;;;;;;;HC;;;;3;0;4;Lower Aripo u;Hemibrycon taeniurus;0.3
19/11/2010;undisturbed;;;;;;;;HC;;;;3;0;4;Lower Aripo u;Hemibrycon taeniurus;1.1
19/11/2010;undisturbed;;;;;;;;;;;;0;112;4;Lower Aripo u;Hemibrycon taeniurus;4
19/11/2010;undisturbed;;;;;;;;HC;;;;1;0;4;Lower Aripo u;Hypostomus robinii;130.1
19/11/2010;undisturbed;;;;;;;;HC;;;;1;0;4;Lower Aripo u;Rivulus hartii;0.5
19/11/2010;undisturbed;19;;;;;;;HC;19;;10;48;0;4;Lower Aripo u;Poecilia reticulata;0.12
22/11/2010;disturbed;;;;;;;;;;3;;0;1;5;Upper Aripo d;Hypostomus robinii;15
22/11/2010;disturbed;;;;;;;;HC;;;;40;0;5;Upper Aripo d;Rivulus hartii;1
22/11/2010;disturbed;;;;;;;;HC;;;;8;0;5;Upper Aripo d;Rivulus hartii;1.5
22/11/2010;disturbed;;;;;;;;HC;;;;8;0;5;Upper Aripo d;Rivulus hartii;2
22/11/2010;disturbed;41;;;;;;;HC;5;;6;52;0;5;Upper Aripo d;Poecilia reticulata;0.17
22/11/2010;disturbed;;;;;;;;HC;;;;3;0;5;Upper Aripo d;Rivulus hartii;3
22/11/2010;disturbed;;;;;;;;HC;;;;1;0;5;Upper Aripo d;Rivulus hartii;4.6
22/11/2010;disturbed;;;;;;;;HC;;;;6;0;5;Upper Aripo d;Rivulus hartii;0.5
22/11/2010;undisturbed;;;;;;;;HC;;;;5;0;6;Upper Aripo u;Rivulus hartii;1.2
22/11/2010;undisturbed;;;;;;;;HC;;;;2;0;6;Upper Aripo u;Rivulus hartii;0.4
22/11/2010;undisturbed;;;;;;;;HC;;;;1;0;6;Upper Aripo u;Rivulus hartii;0.2
22/11/2010;undisturbed;185;;;;;;;HC;30;;22;235;0;6;Upper Aripo u;Poecilia reticulata;0.17
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;0.3
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;5.8
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;1.3
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;37.7
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;24.8
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;11
30/11/2010;disturbed;;corrected from 180.2;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;18.2
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Andinoacara pulcher;0.1
30/11/2010;disturbed;;;;;;;;HC;;;;2;0;8;Acono d;Andinoacara pulcher;0.4
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Crenicichla frenata;0.2
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Crenicichla frenata;11
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Hoplias malabaricus;0.6
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Hypostomus robinii;0.1
30/11/2010;disturbed;65;;;;;;;HC;21;;67;153;0;8;Acono d;Poecilia reticulata;0.13
30/11/2010;disturbed;;;;;;;;HC;;;;1;0;8;Acono d;Synbranchus marmoratus;180.2
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Andinoacara pulcher;16.4
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Andinoacara pulcher;35.7
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Hoplias malabaricus;100
30/11/2010;undisturbed;;;;;;;;HC;;;;2;0;9;Acono u;Hypostomus robinii;0.3
30/11/2010;undisturbed;;;;;;;;HC;;;;3;0;9;Acono u;Hypostomus robinii;0.1
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Rhamdia quelen;76.7
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Rhamdia quelen;203.5
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Crenicichla frenata;46.6
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Crenicichla frenata;21.3
30/11/2010;undisturbed;;;;;;;;HC;;;;1;0;9;Acono u;Crenicichla frenata;13.2
03/12/2010;disturbed;;;;;;;;HC;;;;3;0;10;Caura d;Andinoacara pulcher;30
03/12/2010;disturbed;;;;;;;;HC;;;;2;0;10;Caura d;Andinoacara pulcher;20
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;10.1
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;54.6
03/12/2010;disturbed;;;;;;;;HC;;;;2;0;10;Caura d;Andinoacara pulcher;42
03/12/2010;disturbed;;;;;;;;HC;;;;1;0;10;Caura d;Andinoacara pulcher;15
