name,acronym
Anablepsoides_hartii,Ahartii
Ancistrus_maracasae,Amaracasae
Andinoacara_pulcher,Apulcher
Astyanax_bimaculatus,Abimaculatus
Awaous_banana,Abanana
Cichlasoma_taenia,Ctaenia
Corydoras_aeneus,Caeneus
Corynopoma_riisei,Criisei
Crenicichla_frenata,Cfrenata
Dajaus_monticola,Dmonticola
Gymnotus_carapo,Gcarapo
Hemibrycon_taeniurus,Htaeniurus
Hemigrammus_unilineatus,Hunilineatus
Hoplias_malabaricus,Hmalabaricus
Hoplosternum_littorale,Hlittorale
Hypostomus_robinii,Hrobinii
Odontostilbe_pulchra,Opulchra
Oreochromis_sp,Osp
Poecilia_reticulata,Preticulata
Rhamdia_quelen,Rquelen
Roeboides_dientonito,Rdientonito
Steindachnerina_argentea,Sargentea
Synbranchus_marmoratus,Smarmoratus
